As a Data user, I want to have the 12-19-2017 deletions processed, so that outdated submissions are removed efficiently.
As a Developer, I want to be able to log better, so that I can troubleshoot issues.
As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that status transitions are tracked accurately.
As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that files remain consistent with latest data.
As a Website user, I want to access published FABS files, so that I can retrieve approved submissions easily.
As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213, so that validations reflect new requirements.
As a Developer, I want to add the GTAS window data to the database, so that submission periods are managed properly.
As a Developer, I want D Files generation requests to be managed and cached, so that performance is optimized during high usage.
As an Agency user, I want to be able to include a large number of flexfields without performance impact, so that complex data submissions are handled smoothly.
As a Broker user, I want Upload and Validate the error message to have accurate text, so that users receive clear feedback on issues.
As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that data integrity is maintained.
As a data user, I want to receive updates to FABS records, so that submissions stay current.
As a Developer, I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated, so that samples match current schema.
As an agency user, I want to ensure that deleted FSRS records are not included in submissions, so that only valid data is processed.
As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that accidental republishing is avoided.
As a Developer, I want to ensure that attempts to correct or delete non-existent records don't create new published data, so that errors don't generate invalid entries.
As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element, so that context is preserved for troubleshooting.
As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict, so that derivations are reliable.
As an agency user, I want the FABS validation rules to accept zero and blank for loan records, so that flexible data entry is allowed.
As an Agency user, I want FABS deployed into production, so that I can submit my Financial Assistance data.
As a Developer, I want to clarify to users what exactly is triggering the CFDA error code in each case, so that debugging is easier.
As an agency user, I want to be confident that the data coming from SAM is complete, so that registrations are verified thoroughly.
As a Developer, I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.
As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records, so that flexible data entry is allowed.
As a broker team member, I want to make some updates to the SQL codes for clarity, so that logic is easier to maintain.
As an agency user, I want to have all derived data elements derived properly, so that submissions are complete and accurate.
As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic, so that special cases are handled correctly.
As a data user, I want to see the office names derived from office codes, so that readable information is available.
As a broker user, I want the historical FABS loader to derive fields, so that legacy data is processed consistently.
As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that groups are handled under the FREC paradigm.
As a user, I don't want to see NASA grants displayed as contracts, so that award types are classified accurately.
As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, so that valid actions are not rejected.
As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date, so that historical actions are validated correctly.
As a broker team member, I want to derive FundingAgencyCode, so that fields are populated automatically.
As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1, so that compliance is ensured.
As an agency user, I want to use the schema v1.1 headers in my FABS file, so that uploads align with current standards.
As a agency user, I want to map the FederalActionObligation properly to the Atom Feed, so that data feeds are accurate.
As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations, so that consistency is maintained across fields.
As a FABS user, I want to link the SAMPLE FILE on the "What you want to submit" dialog to point to the correct file, so that guidance is up-to-date.
As an Agency user, I want FPDS data to be up-to-date daily, so that integrations remain current.
As a Developer, I want to determine how agencies will generate and validate D Files from FABS and FPDS data, so that processes are standardized.
As a user, I want to generate and validate D Files from FABS and FPDS data, so that combined reports are reliable.
As an Agency user, I want the header information box to show updated date AND time, so that timestamps are precise.
As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension, so that issues are easier to resolve.
As a tester, I want to have access to test features in environments other than Staging, so that development is flexible.
As a FABS user, I want submission errors to accurately represent FABS errors, so that feedback is specific and actionable.
As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that navigation is intuitive.
As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live, so that continuity is maintained.
As a Developer, I want the historical FPDS data loader to include both extracted historical data and FPDS feed data, so that comprehensive loading is achieved.
As an Agency user, I want historical FPDS data loaded, so that legacy integrations are complete.
As an Agency user, I want to accurately see who created a submission, so that accountability is clear.
As an agency user, I want to get File F in the correct format, so that exports are standardized.
As an Agency user, I want to better understand my file-level errors, so that corrections are guided effectively.
As a Developer, I want to provide FABS groups that function under the FREC paradigm, so that organizational logic is supported.
As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check, so that reliability is verified.
As an owner, I only want zero-padded fields, so that I can justify padding.
As a Broker user, I want to submit records for individual recipients without receiving a DUNS error, so that personal awards are handled flexibly.
As a user, I want more information about how many rows will be published prior to deciding whether to publish, so that informed choices are possible.
As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision, so that data duplication is avoided.
As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations, so that broad location entries are accepted.
As a Broker user, I want to have updated error codes that accurately reflect the logic, so that messages are precise.
As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that partial ZIP codes are flexible.
As a FABS user, I want to make sure the historical data includes all necessary columns, so that legacy loads are complete.
As a data user, I want to access two additional fields from the FPDS data pull, so that enriched data is available.
As a FABS user, I want additional helpful info in the submission dashboard, so that monitoring is improved.
As a FABS user, I want to download the uploaded FABS file, so that originals are retrievable.
As a Developer I want to quickly access Broker application data, so that development is efficient.
As a Developer, I want to determine the best way to load historical FPDS data, so that optimization is achieved.
As a FABS user, I want the language on FABS pages to be appropriate for me, so that usability is enhanced.
As a FABS user, I do not want DABS banner messages and vice versa, so that interfaces remain focused.
As a FABS user, I want to have read-only access to DABS, so that cross-app viewing is possible without edits.
As a FABS user, I want to have my validations run in a reasonable amount of time, so that feedback is prompt.
As a FABS user, I want to see correct status labels on the Submission Dashboard, so that progress is clear.
As an agency user, I want to know when the submission periods start and end, so that deadlines are manageable.
As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that access is streamlined.
As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.
