As a Data user, I want to process deletions from 12-19-2017, so that outdated records are removed from the database.
As a Developer, I want to update the validation rule table for DB-2213, so that rules accurately handle loans and non-loans.
As a Developer, I want to add GTAS window data to the database, so that submission periods are properly tracked and locked.
As a Developer, I want to log submissions with detailed information, so that troubleshooting is improved for errors and status changes.
As a Developer, I want to modify FABS submission status when publishStatus changes, so that the database reflects current submission states accurately.
As a Developer, I want to manage and cache D Files generation requests, so that file generation is efficient and avoids redundant processing.
As a Broker user, I want to sync D1 file generation with FPDS data load, so that files are consistent with the latest FPDS updates.
As a Broker user, I want to validate uploads with accurate error messages, so that users receive clear feedback on file issues.
As a Website user, I want to access published FABS files, so that filtered data is available for review or download.
As an owner, I want to ensure only grant records are sent to USAspending, so that irrelevant contract data is excluded.
As a data user, I want to derive office names from codes, so that human-readable names are generated for reporting.
As a broker team member, I want to derive the FundingAgencyCode, so that agency hierarchies are accurately computed.
As an Agency user, I want to include a large number of flexfields without performance impact, so that detailed data is stored efficiently.
As a Developer, I want to prevent double publishing after refresh, so that duplicate submissions are avoided.
As a Developer, I want to update the FABS sample file to remove the FundingAgencyCode header, so that the template matches the schema.
As an agency user, I want to ensure deleted FSRS records are not included, so that only active submissions are processed.
As a user, I want to deactivate the publish button during derivations, so that premature publishing is prevented.
As a Developer, I want to ensure operations on non-existent records do not create new data, so that data integrity is maintained.
As an Owner, I want to reset the environment to only Staging MAX permissions, so that security is controlled appropriately.
As a user, I want to show flexfields in error files when required elements are missing, so that users understand the context of issues.
As a user, I want accurate data for PPoPCode and PPoPCongressionalDistrict, so that derived fields are reliable for submissions.
As an Agency user, I want to deploy FABS to production, so that financial assistance data submission is enabled.
As a Developer, I want to clarify CFDA error triggers, so that error messages are specific and helpful.
As a Developer, I want to index domain models for faster validation, so that queries perform efficiently.
As an agency user, I want to confirm SAM data completeness, so that registrations are verified before processing.
As a broker team member, I want to update SQL codes for clarity, so that queries are easier to maintain.
As a broker team member, I want to add special PPoPCode cases like 00***** and 00FORGN to derivations, so that foreign and special cases are handled correctly.
As a Developer, I want to include FREC derivations for historical FABS, so that legacy data is compatible with current schemas.
As a user, I want to prevent showing NASA grants as contracts, so that award types are displayed accurately.
As a user, I want DUNS validations to accept B,C,D actions if registered in SAM even if expired, so that valid historical actions pass.
As a user, I want to accept ActionDate if before current but after initial registration, so that timing validations are flexible.
As a broker team member, I want to ensure resources are updated for FABS and DAIMS v1.1 launch, so that documentation supports the new version.
As an agency user, I want LegalEntityAddressLine3 to match schema v1.1 max length, so that submissions comply with standards.
