model_key,model_name,prompt_variant,report_number,similarity_score,generated_clusters_count
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,1,0.7579084038734436,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,2,0.756412148475647,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,3,0.7998111248016357,6
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,4,0.8011132478713989,3
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,5,0.749791145324707,6
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,6,0.787970244884491,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,7,0.7468430399894714,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,8,0.7542599439620972,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,9,0.821357011795044,3
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,10,0.7779550552368164,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,11,0.8156004548072815,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,12,0.7872443199157715,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,13,0.7498182058334351,7
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,14,0.7420129776000977,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,15,0.7851295471191406,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,16,0.7695951461791992,7
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,17,0.780504584312439,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,18,0.7713239192962646,3
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,19,0.7933145761489868,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought,20,0.7621630430221558,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,1,0.7950993776321411,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,2,0.7588397264480591,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,3,0.7491024732589722,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,4,0.7742787599563599,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,5,0.7602981328964233,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,6,0.7517786026000977,5
