As a Data user, I want to process deletions from 12-19-2017, so that historical submissions are accurately cleaned up.
As a UI designer, I want to redesign Resources page to match new styles, so that the interface aligns with updated Broker standards.
As a UI designer, I want to report user testing to Agencies, so that feedback is shared for improvements.
As a UI designer, I want to move to round 2 of DABS or FABS landing page edits, so that changes receive leadership approval.
As a UI designer, I want to move to round 2 of Homepage edits, so that homepage updates are refined for approval.
As a UI designer, I want to move to round 3 of Help page edits, so that help content is further improved for users.
As a UI designer, I want to move to round 2 of Help page edits, so that initial help page changes are iterated upon.
As a Developer, I want to log better for troubleshooting submissions, so that debugging is more efficient.
As a Developer, I want to modify FABS submission when publishStatus changes, so that submission status is correctly updated.
As a DevOps engineer, I want to collect useful New Relic data, so that application performance is monitored effectively.
As a Broker user, I want to upload and validate with accurate error text, so that file issues are clearly identified.
As a Broker user, I want to sync D1 generation with FPDS data load, so that file generation occurs only after data updates.
As a Website user, I want to access published FABS files, so that approved submissions are retrievable.
As an owner, I want to ensure USAspending only sends grant records, so that irrelevant data is filtered out.
As a Developer, I want to update validation rules for DB-2213, so that new rules are applied to submissions.
As a Developer, I want to add GTAS window data to lock down site, so that access is controlled during specific periods.
As a Developer, I want to manage and cache D Files generation, so that repeated generations are efficient.
As a user, I want to access raw agency published files from FABS, so that agency-specific data is available.
As an Agency user, I want to include large number of flexfields without performance impact, so that data handling remains fast.
As a Broker user, I want to create content mockups, so that UI designs are prototyped.
As a UI designer, I want to track issues from Tech Thursday, so that problems are documented and resolved.
As an Owner, I want to create user testing summary from UI SME, so that testing outcomes are summarized.
As a UI designer, I want to begin user testing, so that planned tests are initiated.
As a UI designer, I want to schedule user testing, so that sessions are organized in advance.
As an Owner, I want to design schedule from UI SME, so that UI timelines are established.
As an Owner, I want to design audit from UI SME, so that UI improvements are scoped.
As a Developer, I want to prevent double publishing after refresh, so that duplicate publications are avoided.
As a data user, I want to receive updates to FABS records, so that submissions stay current.
As a Developer, I want to update FABS sample file to remove FundingAgencyCode header, so that sample files match schema.
As an agency user, I want to ensure deleted FSRS records not included, so that only active data is processed.
As a website user, I want to see updated financial assistance data daily, so that information is timely.
As a user, I want to deactivate publish button while derivations happen, so that publishing is prevented during processing.
As a Developer, I want to ensure attempts on non-existent records don't create data, so that data integrity is maintained.
As an Owner, I want to reset environment to Staging MAX permissions, so that testing permissions are standardized.
As a user, I want to include flexfields in warning/error files when missing required, so that errors provide full context.
As a user, I want to accurate data for PPoPCode and PPoPCongressionalDistrict, so that derived fields are reliable.
As an agency user, I want to accept zero/blank for loan records in validations, so that loan-specific rules are applied.
As an Agency user, I want to deploy FABS to production, so that the system goes live.
As a Developer, I want to clarify CFDA error code triggers, so that validation logic is transparent.
As an agency user, I want to confident in complete SAM data, so that vendor information is verified.
As a Developer, I want to index models for faster validation, so that performance is improved.
As an agency user, I want to accept zero/blank for non-loan records, so that non-loan validations are flexible.
As a broker team member, I want to update SQL for clarity, so that queries are more readable.
As an agency user, I want to ensure all derived elements proper, so that data derivations are accurate.
As a broker team member, I want to add 00***** and 00FORGN PPoPCode to derivation, so that special codes are handled.
As a data user, I want to see office names derived, so that codes are human-readable.
