As a BrokerUser, I want to upload and validate files, so that I can ensure the integrity and accuracy of the uploaded data.
As an AgencyUser, I want to retrieve submission periods, so that I can plan and manage my submissions accordingly.
As an AgencyUser, I want to submit FABS data, so that I can fulfill my reporting obligations.
As a Developer, I want to update broker validation rules, so that I can adapt to changing regulatory requirements.
As a Developer, I want to add GTAS window data, so that I can provide accurate and up-to-date information.
As a Developer, I want to ensure data is loaded, so that I can verify the correctness of the system.
As a FABSUser, I want to download FABS files, so that I can access and analyze the data.
As a FABSUser, I want to submit FABS data, so that I can report my financial information.
As a DataUser, I want to access FABS files, so that I can view and analyze the data.
As a DataUser, I want to retrieve updated FABS records, so that I can stay informed about changes to the data.
As a UIUser, I want to access the resources page, so that I can find helpful information and tools.
As a UIUser, I want to report user testing, so that I can provide feedback on the system.
As a system administrator, I want to process deletions, so that I can maintain data integrity and remove unnecessary information.
As a system administrator, I want to redesign the resources page, so that I can improve the user experience.
As a system administrator, I want to report user testing, so that I can identify areas for improvement.
As a system administrator, I want to add PPoPCode cases, so that I can extend the system's functionality.
As a system administrator, I want to derive funding agency codes, so that I can accurately identify and track funding sources.
As a system administrator, I want to map federal action obligations, so that I can understand and manage the relationships between different obligations.
As a system administrator, I want to synchronize D1 file generation, so that I can ensure timely and accurate file creation.
As a system administrator, I want to update SQL codes, so that I can adapt to changing database requirements.
As a user, I want to generate D1 files, so that I can create the necessary files for reporting and analysis.
As a user, I want to load FPDS data, so that I can import and process the data for further analysis.
