As a Data user, I want to have the 12-19-2017 deletions processed, so that historical data is accurately maintained.
As a Developer, I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.
As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that data integrity is ensured during publishing.
As a DevOps engineer, I want New Relic to provide useful data across all applications, so that monitoring and performance tracking is improved.
As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213, so that validations reflect current requirements.
As a Developer, I want to add the GTAS window data to the database, so that submission periods are properly managed.
As a Developer, I want D Files generation requests to be managed and cached, so that performance is optimized for repeated generations.
As an Agency user, I want to be able to include a large number of flexfields without performance impact, so that submissions handle complex data efficiently.
As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that duplicate publications are avoided.
As a data user, I want to receive updates to FABS records, so that data remains current and accurate.
As a Developer, I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated, so that users follow the latest schema.
As an agency user, I want to ensure that deleted FSRS records are not included in submissions, so that invalid data is excluded.
As a website user, I want to see updated financial assistance data daily, so that public views reflect the latest information.
As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that accidental republishing is prevented.
As a Developer, I want to ensure that attempts to correct or delete non-existent records don't create new published data, so that data consistency is maintained.
As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element, so that debugging is easier.
As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict, so that location derivations are reliable.
As an agency user, I want FABS deployed into production, so that the system is live and operational.
As a Developer, I want to clarify to users what exactly is triggering the CFDA error code in each case, so that error resolution is straightforward.
As an agency user, I want to be confident that the data coming from SAM is complete, so that registrations are validated properly.
As a Developer, I want my domain models to be indexed properly, so that database queries are efficient.
As a broker team member, I want to make some updates to the SQL codes for clarity, so that maintenance and debugging are simpler.
As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic, so that special place-of-performance cases are handled correctly.
As a data user, I want to see the office names derived from office codes, so that reporting includes readable labels.
As a broker user, I want the historical FABS loader to derive fields, so that legacy data is enriched automatically.
As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that funding codes are populated consistently.
As a user, I don't want to see NASA grants displayed as contracts, so that award types are accurately represented.
As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, so that valid modifications are allowed.
As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, so that historical actions are processed.
As a broker team member, I want to derive FundingAgencyCode, so that agency classifications are automated.
As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1, so that submissions comply with standards.
As an agency user, I want to use the schema v1.1 headers in my FABS file, so that file uploads align with updated specifications.
As a agency user, I want to map the FederalActionObligation properly to the Atom Feed, so that feeds integrate seamlessly.
As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations, so that zip code handling is consistent.
As a FABS user, I want to link the SAMPLE FILE on the "What you want to submit" dialog to point to the correct file, so that guidance is accessible.
As an Agency user, I want FPDS data to be up-to-date daily, so that procurement information is current.
As a Developer, I want to determine how agencies will generate and validate D Files from FABS and FPDS data, so that processes are standardized.
As a user, I want to generate and validate D Files from FABS and FPDS data, so that combined reports are reliable.
As an Agency user, I want the header information box to show updated date AND time, so that timestamps are precise.
As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension, so that upload issues are clear.
As a tester, I want to have access to test features in environments other than Staging, so that testing is flexible across setups.
As a FABS user, I want submission errors to accurately represent FABS errors, so that feedback is relevant.
As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that navigation is intuitive.
