As a data user, I want to process deletions for a specified date, so that I can maintain accurate records.
As a UI designer, I want to redesign the Resources page, so that it matches the new Broker styles and improves user experience.
As a UI designer, I want to report user testing findings to agencies, so that stakeholders are informed of user contributions.
As a UI designer, I want to move on to the next round of edits for a page, so that we can progress with the approval process.
As a UI designer, I want to schedule user testing for a specific date, so that participants can be organized in advance.
As a UI designer, I want to track issues from Tech Thursday, so that I can address any concerns promptly.
As a developer, I want to log errors with detailed messages, so that I can identify and troubleshoot issues effectively.
As a developer, I want to update the status of submissions, so that the system reflects the current state accurately.
As a developer, I want to prevent double publishing for submissions, so that data integrity is maintained.
As a developer, I want to validate D Files for submission, so that I can ensure compliance and accuracy of the data.
As a DevOps engineer, I want to integrate New Relic for data tracking, so that we can monitor application performance effectively.
As a broker user, I want to upload and validate files, so that I can ensure only correct data is processed.
As a broker user, I want to submit individual records, so that specific data entries can be reported accurately.
As an agency user, I want to include flexfields in records, so that we can capture all necessary information.
As an agency user, I want to submit financial assistance data, so that budgetary requirements can be met and tracked.
As an auditing system, I want to reset the environment to only take Staging MAX permissions, so that testing does not affect production data.
As an auditing system, I want to design an audit with a specified scope, so that I can focus on relevant areas for review.
As a submission manager, I want to check if the submission period is open, so that I can ensure submissions are accepted in a timely manner.
As a submission manager, I want to display errors for files, so that users can correct issues before resubmission.
As a FABS file manager, I want to download uploaded files using their IDs, so that I can access necessary documents quickly.
As a file manager, I want to load FPDS data, so that I can prepare for data processing tasks.
As a file manager, I want to load historical data for submissions, so that I can provide context for current data processing.
As a user experience tester, I want to conduct testing, so that I can evaluate usability and identify areas for improvement.
